iter	RMSE
0	3844.9518
1	3670.866697
2	3507.060215
3	3350.922464
4	3202.955209
5	3062.15213
6	2927.449207
7	2799.248058
8	2681.006003
9	2567.156508
10	2460.764033
11	2357.394743
12	2259.035802
13	2167.585715
14	2080.043716
15	1994.424294
16	1914.51221
17	1841.198809
18	1772.835099
19	1708.31744
20	1645.804429
21	1588.161754
22	1531.762834
23	1477.607184
24	1429.439588
25	1383.218626
26	1338.966347
27	1299.091471
28	1260.121233
29	1223.498454
30	1189.189372
31	1157.99096
32	1127.040268
33	1098.799669
34	1072.023578
35	1048.019679
36	1025.295787
37	1002.970311
38	983.2428644
39	964.5929603
40	944.5440053
41	928.8231089
42	912.3457415
43	896.3193606
44	880.8782817
45	867.3917013
46	855.6979418
47	843.993396
48	832.9535823
49	823.4811593
50	813.0584061
51	804.5255396
52	794.4858198
53	786.802673
54	778.2234626
55	772.4459857
56	764.8925004
57	757.749335
58	751.2112939
59	746.2864705
60	741.2616189
61	736.9231219
62	730.7829309
63	725.3412958
64	721.181072
65	716.9837363
66	712.6473264
67	707.7383802
68	703.9324053
69	700.1376478
70	697.0195261
71	693.75696
72	690.6444395
73	687.8536565
74	684.7794871
75	682.2405901
76	679.8392696
77	677.3923526
78	674.4425416
79	671.1726693
80	668.7634119
81	666.4919367
82	664.4669293
83	662.6007019
84	660.3466151
85	658.444549
86	657.0862946
87	655.8249679
88	654.2505597
89	651.8636579
90	649.7132393
91	648.6371746
92	646.8270372
93	645.4865234
94	643.4588205
95	642.0464304
96	641.1131752
97	639.9787236
98	639.1277965
99	637.9801333
100	637.058022
101	635.6692598
102	634.7739858
103	633.371528
104	632.5124743
105	631.8208962
106	631.1573849
107	629.8083775
108	629.1745035
109	627.7749589
110	626.4583248
111	624.880007
112	624.2803513
113	623.4599996
114	622.4082692
115	621.7429461
116	621.1286503
117	620.5327071
118	619.5136825
119	618.7575805
120	618.133072
121	617.3679704
122	616.2677353
123	615.617235
124	615.1631909
125	614.4697381
126	613.4176351
127	612.7379204
128	612.2297886
129	611.6659065
130	610.972878
131	610.6385725
132	610.1803881
133	609.7321852
134	609.3082481
135	608.6926618
136	608.2568982
137	607.6912142
138	607.3923655
139	606.8682191
140	606.4302263
141	605.9973322
142	605.35741
143	605.0936874
144	604.7160648
145	603.9353016
146	603.6705349
147	603.032733
148	602.6804698
149	602.2028676
150	601.9327354
151	601.3005913
152	600.6890788
153	600.3294976
154	600.0109651
155	599.7176658
156	599.4431551
157	598.8075266
158	598.6599978
159	598.4195777
160	598.2524164
161	597.9216784
162	597.6693568
163	597.2352416
164	596.4774736
165	596.202929
166	595.8271953
167	595.6247734
168	595.0235578
169	594.5564595
170	594.2462839
171	593.8983307
172	593.688228
173	593.4122261
174	592.8532909
175	592.3609746
176	592.1245622
177	591.773918
178	591.6044687
179	591.3237473
180	590.7882319
181	590.6091653
182	590.3892126
183	590.124453
184	589.8798779
185	589.6956953
186	589.3915348
187	588.9305992
188	588.720856
189	588.5637923
190	588.4756849
191	588.3460779
192	588.081494
193	587.8247018
194	587.6881844
195	587.5195905
196	587.3824126
197	587.1710869
198	586.9816691
199	586.763288
200	586.583347
201	586.343157
202	586.1805139
203	586.0525744
204	585.9457635
205	585.7769567
206	585.5514694
207	585.2933084
208	585.1825049
209	585.0280117
210	584.8110202
211	584.6183705
212	584.5137694
213	584.3026613
214	584.1697434
215	583.9351255
216	583.8542838
217	583.7123472
218	583.5965392
219	583.5027149
220	583.3991482
221	583.2297254
222	582.9543199
223	582.8212194
224	582.6258953
225	582.4433369
226	582.3253742
227	582.1952838
228	582.0092175
229	581.8836974
230	581.81341
231	581.7465495
232	581.6131089
233	581.4844867
234	581.3107335
235	581.1712747
236	581.080214
