iter	Passed	Remaining
0	24	9815
1	42	8538
2	73	9714
3	97	9627
4	114	9025
5	130	8557
6	151	8498
7	174	8568
8	192	8354
9	210	8197
10	227	8051
11	267	8658
12	290	8654
13	319	8819
14	353	9077
15	378	9074
16	408	9210
17	429	9124
18	455	9125
19	473	8988
20	491	8863
21	509	8752
22	530	8703
23	550	8618
24	579	8688
25	598	8615
26	618	8538
27	640	8512
28	660	8449
29	678	8367
30	696	8286
31	727	8369
32	746	8302
33	763	8216
34	779	8131
35	795	8048
36	813	7981
37	839	8001
38	863	7990
39	894	8047
40	912	7992
41	932	7944
42	952	7905
43	996	8062
44	1021	8054
45	1040	8005
46	1058	7947
47	1077	7902
48	1109	7944
49	1129	7905
50	1150	7873
51	1179	7894
52	1209	7917
53	1226	7858
54	1241	7787
55	1257	7722
56	1273	7663
57	1289	7605
58	1332	7701
59	1350	7650
60	1378	7660
61	1395	7606
62	1414	7568
63	1437	7546
64	1457	7513
65	1484	7510
66	1510	7506
67	1536	7501
68	1574	7550
69	1600	7546
70	1644	7621
71	1673	7621
72	1709	7659
73	1734	7641
74	1751	7588
75	1768	7538
76	1784	7484
77	1812	7480
78	1868	7590
79	1898	7592
80	1917	7551
81	1934	7502
82	1965	7506
83	1991	7492
84	2021	7489
85	2056	7508
86	2078	7479
87	2099	7443
88	2121	7412
89	2153	7417
90	2187	7426
91	2211	7405
92	2233	7372
93	2266	7376
94	2285	7338
95	2306	7303
96	2343	7320
97	2366	7291
98	2390	7267
99	2409	7228
100	2432	7202
101	2474	7229
102	2502	7217
103	2522	7178
104	2538	7132
105	2556	7090
106	2593	7102
107	2626	7100
108	2662	7109
109	2682	7070
110	2702	7035
111	2749	7069
112	2769	7034
113	2788	6995
114	2823	6998
115	2843	6961
116	2864	6927
117	2886	6898
118	2909	6870
119	2925	6827
120	2943	6786
121	2961	6747
122	2979	6710
123	3002	6684
124	3018	6641
125	3038	6608
126	3085	6633
127	3101	6590
128	3123	6560
129	3143	6528
130	3165	6501
131	3185	6468
132	3204	6433
133	3229	6410
134	3251	6383
135	3271	6350
136	3293	6321
137	3318	6300
138	3335	6262
139	3353	6227
140	3380	6209
141	3396	6171
142	3425	6156
143	3441	6118
144	3460	6084
145	3480	6054
146	3496	6017
147	3517	5990
148	3548	5977
149	3565	5942
150	3587	5915
151	3617	5902
152	3634	5867
153	3656	5840
154	3671	5803
155	3687	5768
156	3704	5733
157	3751	5745
158	3767	5710
159	3785	5678
160	3801	5642
161	3817	5607
162	3873	5631
163	3895	5605
164	3914	5575
165	3934	5545
166	3966	5534
167	3984	5502
168	4001	5469
169	4016	5434
170	4032	5400
171	4057	5378
172	4087	5363
173	4118	5348
174	4136	5318
175	4155	5288
176	4172	5257
177	4191	5226
178	4210	5198
179	4243	5186
180	4264	5159
181	4284	5131
182	4306	5106
183	4339	5093
184	4393	5105
185	4445	5115
186	4469	5090
187	4489	5062
188	4508	5032
189	4527	5004
190	4546	4975
191	4576	4957
192	4599	4932
193	4620	4906
194	4641	4879
195	4668	4858
196	4690	4833
197	4709	4804
198	4726	4773
199	4751	4751
200	4771	4723
201	4798	4703
202	4829	4687
203	4844	4654
204	4859	4622
205	4886	4601
206	4920	4587
207	4954	4572
208	4984	4555
209	5010	4533
210	5042	4516
211	5072	4497
212	5092	4470
213	5118	4448
214	5135	4419
215	5168	4402
216	5183	4370
217	5198	4340
218	5225	4318
219	5256	4300
220	5274	4271
221	5290	4241
222	5306	4212
223	5322	4181
224	5353	4163
225	5386	4146
226	5417	4128
227	5434	4099
228	5451	4070
229	5477	4048
230	5492	4018
231	5521	3998
232	5541	3972
233	5560	3944
234	5577	3915
235	5592	3886
236	5608	3857
237	5625	3829
238	5641	3800
239	5662	3774
240	5692	3755
241	5738	3746
242	5765	3725
243	5782	3696
244	5796	3667
245	5812	3638
246	5832	3612
247	5850	3586
248	5874	3562
249	5892	3535
250	5919	3513
251	5937	3486
252	5955	3460
253	5985	3440
254	6001	3412
255	6028	3390
256	6044	3363
